experiment,condition,noise_percent,method,parameter,estimate,reference,absolute_error,relative_error_percent
M1,noise_000,0.0,GIFT,nu,0.010048400828606757,0.01,4.840082860675665e-05,0.4840082860675665
M1,noise_000,0.0,GIFT,beta,0.995336659928854,1.0,0.004663340071145994,0.4663340071145994
M1,noise_000,0.0,GIFT,gamma,0.9996964612764327,1.0,0.00030353872356725375,0.030353872356725375
M1,noise_000,0.0,PDE-FIND,nu,0.02136565196216702,0.01,0.011365651962167019,113.65651962167018
M1,noise_000,0.0,PDE-FIND,beta,0.8688639691781915,1.0,0.13113603082180847,13.113603082180846
M1,noise_000,0.0,PDE-FIND,gamma,0.9030208071520076,1.0,0.09697919284799239,9.697919284799239
M1,noise_000,0.0,PDE-FIND-KC,nu,0.013508204108463496,0.01,0.003508204108463496,35.08204108463496
M1,noise_000,0.0,PDE-FIND-KC,beta,0.8404702917737495,1.0,0.15952970822625046,15.952970822625046
M1,noise_000,0.0,PDE-FIND-KC,gamma,0.8911463664383021,1.0,0.10885363356169786,10.885363356169787
M1,noise_000,0.0,PINN-SR,nu,0.024630296044051647,0.01,0.014630296044051647,146.30296044051647
M1,noise_000,0.0,PINN-SR,beta,0.6550853848457336,1.0,0.34491461515426636,34.491461515426636
M1,noise_000,0.0,PINN-SR,gamma,0.6280219554901123,1.0,0.3719780445098877,37.19780445098877
M1,noise_000,0.0,PINN-SR-KC,nu,0.03012167103588581,0.01,0.02012167103588581,201.2167103588581
M1,noise_000,0.0,PINN-SR-KC,beta,0.6795651912689209,1.0,0.3204348087310791,32.04348087310791
M1,noise_000,0.0,PINN-SR-KC,gamma,0.7922863960266113,1.0,0.20771360397338867,20.771360397338867
M1,noise_001,1.0,GIFT,nu,0.00956392513062209,0.01,0.0004360748693779098,4.360748693779097
M1,noise_001,1.0,GIFT,beta,0.9912322814801907,1.0,0.008767718519809287,0.8767718519809287
M1,noise_001,1.0,GIFT,gamma,0.9996010390248926,1.0,0.0003989609751073875,0.03989609751073875
M1,noise_001,1.0,PDE-FIND,nu,0.019773331131331534,0.01,0.009773331131331534,97.73331131331534
M1,noise_001,1.0,PDE-FIND,beta,0.8376112055857747,1.0,0.16238879441422527,16.238879441422526
M1,noise_001,1.0,PDE-FIND,gamma,0.8829901455768916,1.0,0.1170098544231084,11.700985442310841
M1,noise_001,1.0,PDE-FIND-KC,nu,0.01442194633246463,0.01,0.00442194633246463,44.2194633246463
M1,noise_001,1.0,PDE-FIND-KC,beta,0.812521844668572,1.0,0.18747815533142798,18.7478155331428
M1,noise_001,1.0,PDE-FIND-KC,gamma,0.8576291877177761,1.0,0.14237081228222392,14.237081228222392
M1,noise_001,1.0,PINN-SR,nu,0.024698439985513687,0.01,0.014698439985513687,146.98439985513687
M1,noise_001,1.0,PINN-SR,beta,0.6387129724025726,1.0,0.36128702759742737,36.12870275974274
M1,noise_001,1.0,PINN-SR,gamma,0.6868330836296082,1.0,0.31316691637039185,31.316691637039185
M1,noise_001,1.0,PINN-SR-KC,nu,0.031230388209223747,0.01,0.021230388209223745,212.30388209223747
M1,noise_001,1.0,PINN-SR-KC,beta,0.6807405352592468,1.0,0.3192594647407532,31.925946474075317
M1,noise_001,1.0,PINN-SR-KC,gamma,0.7674525380134583,1.0,0.23254746198654175,23.254746198654175
M1,noise_010,10.0,GIFT,nu,0.003514771628396511,0.01,0.006485228371603489,64.85228371603489
M1,noise_010,10.0,GIFT,beta,0.8022183727884036,1.0,0.19778162721159642,19.778162721159642
M1,noise_010,10.0,GIFT,gamma,0.9921716747092413,1.0,0.00782832529075872,0.782832529075872
M1,noise_010,10.0,PDE-FIND,nu,0.01981464763515249,0.01,0.00981464763515249,98.1464763515249
M1,noise_010,10.0,PDE-FIND,beta,0.8308250498082793,1.0,0.16917495019172069,16.91749501917207
M1,noise_010,10.0,PDE-FIND,gamma,0.8796655291603,1.0,0.12033447083969995,12.033447083969994
M1,noise_010,10.0,PDE-FIND-KC,nu,0.014171959717719562,0.01,0.004171959717719562,41.719597177195624
M1,noise_010,10.0,PDE-FIND-KC,beta,0.8057621771582396,1.0,0.1942378228417604,19.42378228417604
M1,noise_010,10.0,PDE-FIND-KC,gamma,0.8579150573289804,1.0,0.14208494267101957,14.208494267101957
M1,noise_010,10.0,PINN-SR,nu,0.02113440167158842,0.01,0.01113440167158842,111.34401671588421
M1,noise_010,10.0,PINN-SR,beta,0.5910610258579254,1.0,0.4089389741420746,40.89389741420746
M1,noise_010,10.0,PINN-SR,gamma,0.5980175137519836,1.0,0.40198248624801636,40.198248624801636
M1,noise_010,10.0,PINN-SR-KC,nu,0.031767163425683975,0.01,0.021767163425683973,217.67163425683975
M1,noise_010,10.0,PINN-SR-KC,beta,0.6828765273094177,1.0,0.3171234726905823,31.712347269058228
M1,noise_010,10.0,PINN-SR-KC,gamma,0.8023972511291504,1.0,0.1976027488708496,19.76027488708496
